# Traditional French melody "Ah! vous dirai-je, maman" (published 1761).
# Public-domain tune commonly used for "Twinkle, Twinkle, Little Star".
# Format: start_ms,duration_ms,midi_note
0,500,60
500,500,60
1000,500,67
1500,500,67
2000,500,69
2500,500,69
3000,1000,67
4000,500,65
4500,500,65
5000,500,64
5500,500,64
6000,500,62
6500,500,62
7000,1000,60
8000,500,67
8500,500,67
9000,500,65
9500,500,65
10000,500,64
10500,500,64
11000,1000,62
12000,500,67
12500,500,67
13000,500,65
13500,500,65
14000,500,64
14500,500,64
15000,1000,62
16000,500,60
16500,500,60
17000,500,67
17500,500,67
18000,500,69
18500,500,69
19000,1000,67
20000,500,65
20500,500,65
21000,500,64
21500,500,64
22000,500,62
22500,500,62
23000,1000,60
